approach,char,ssim,ink_coverage,pixel_entropy,sharpness
01_GAN,0,0.0117,0.8409,2.0956,0.7197
01_GAN,1,0.0178,0.8428,2.0519,0.7203
01_GAN,2,0.0155,0.8455,2.0397,0.7203
01_GAN,3,0.0111,0.8447,2.0423,0.7204
01_GAN,4,0.0119,0.8456,2.0371,0.7204
01_GAN,5,0.011,0.8436,2.0668,0.7204
01_GAN,6,0.0125,0.8417,2.068,0.72
01_GAN,7,0.0155,0.8433,2.0711,0.7197
01_GAN,8,0.0064,0.8441,2.0348,0.7203
01_GAN,9,0.0106,0.8417,2.0649,0.7207
01_GAN,a,0.0126,0.8447,2.0323,0.7206
01_GAN,b,0.0129,0.8442,2.0357,0.7204
01_GAN,c,0.0183,0.8426,2.0815,0.7201
01_GAN,d,0.0093,0.8443,2.0627,0.7203
01_GAN,e,0.0159,0.8412,2.0745,0.7202
01_GAN,f,0.014,0.8444,2.0477,0.7206
01_GAN,g,0.0108,0.8442,2.0157,0.7208
01_GAN,h,0.0122,0.8442,2.0405,0.7208
01_GAN,i,0.0191,0.8451,2.0709,0.7199
01_GAN,j,0.0183,0.8427,2.0556,0.7204
01_GAN,k,0.0097,0.8459,1.9998,0.7209
01_GAN,l,0.0149,0.8455,2.0752,0.72
01_GAN,m,0.0161,0.8464,2.0272,0.7207
01_GAN,n,0.0147,0.8409,2.0622,0.7203
01_GAN,o,0.0129,0.8456,2.0278,0.7209
01_GAN,p,0.0139,0.8448,2.0279,0.7208
01_GAN,q,0.0126,0.8452,2.0246,0.7207
01_GAN,r,0.0163,0.8438,2.0607,0.7204
01_GAN,s,0.0179,0.8409,2.079,0.7201
01_GAN,t,0.0181,0.8434,2.0537,0.7204
01_GAN,u,0.0145,0.8448,2.0577,0.7204
01_GAN,v,0.0184,0.8435,2.0909,0.7199
01_GAN,w,0.021,0.8418,2.062,0.7202
01_GAN,x,0.0179,0.8421,2.0546,0.7204
01_GAN,y,0.0136,0.8461,2.0335,0.7206
01_GAN,z,0.0169,0.8422,2.055,0.72
01_GAN,A,0.0122,0.8442,2.0493,0.7203
01_GAN,B,0.0109,0.8414,2.0422,0.7204
01_GAN,C,0.0254,0.8412,2.0236,0.7208
01_GAN,D,0.0181,0.8444,2.025,0.7204
01_GAN,E,0.0158,0.8361,2.0577,0.7205
01_GAN,F,0.0164,0.8433,2.0696,0.72
01_GAN,G,0.0155,0.8434,2.0212,0.7209
01_GAN,H,0.0076,0.8422,2.0602,0.7201
01_GAN,I,0.0209,0.8408,2.0241,0.7211
01_GAN,J,0.0156,0.8453,2.0244,0.7207
01_GAN,K,0.0099,0.8433,2.0228,0.7208
01_GAN,L,0.0218,0.8447,2.0402,0.7208
01_GAN,M,0.0099,0.8481,2.002,0.7207
01_GAN,N,0.0099,0.846,2.0438,0.7203
01_GAN,O,0.0192,0.84,2.1062,0.72
01_GAN,P,0.0105,0.8422,2.0757,0.7199
01_GAN,Q,0.0113,0.8449,2.0302,0.7206
01_GAN,R,0.0079,0.8408,2.0224,0.7208
01_GAN,S,0.0139,0.8409,2.0793,0.7198
01_GAN,T,0.015,0.8477,2.0189,0.7204
01_GAN,U,0.0194,0.8433,2.069,0.7202
01_GAN,V,0.0155,0.8417,2.0841,0.7202
01_GAN,W,0.0176,0.8473,2.0144,0.7206
01_GAN,X,0.0081,0.843,2.0492,0.7205
01_GAN,Y,0.0151,0.8451,2.0152,0.7211
01_GAN,Z,0.0147,0.842,2.0521,0.7202
03_FontCNN,0,0.9125,0.0014,0.0213,0.7308
03_FontCNN,1,0.9324,0.0014,0.0213,0.7308
03_FontCNN,2,0.9193,0.0014,0.0213,0.7308
03_FontCNN,3,0.913,0.0014,0.0213,0.7308
03_FontCNN,4,0.9213,0.0014,0.0213,0.7308
