approach,char,intended,recognised,correct
01_GAN,0,0,,0
01_GAN,1,1,,0
01_GAN,2,2,,0
01_GAN,3,3,,0
01_GAN,4,4,,0
01_GAN,5,5,,0
01_GAN,6,6,,0
01_GAN,7,7,,0
01_GAN,8,8,,0
01_GAN,9,9,,0
01_GAN,A,A,,0
01_GAN,B,B,,0
01_GAN,C,C,,0
01_GAN,D,D,,0
01_GAN,E,E,,0
01_GAN,F,F,,0
01_GAN,G,G,,0
01_GAN,H,H,,0
01_GAN,I,I,,0
01_GAN,J,J,,0
01_GAN,K,K,,0
01_GAN,L,L,,0
01_GAN,M,M,,0
01_GAN,N,N,,0
01_GAN,O,O,,0
01_GAN,P,P,,0
01_GAN,Q,Q,,0
01_GAN,R,R,,0
01_GAN,S,S,,0
01_GAN,T,T,,0
01_GAN,U,U,,0
01_GAN,V,V,,0
01_GAN,W,W,,0
01_GAN,X,X,,0
01_GAN,Y,Y,,0
01_GAN,Z,Z,,0
01_GAN,a,a,,0
01_GAN,b,b,,0
01_GAN,c,c,,0
01_GAN,d,d,,0
01_GAN,e,e,,0
01_GAN,f,f,,0
01_GAN,g,g,,0
01_GAN,h,h,,0
01_GAN,i,i,,0
01_GAN,j,j,,0
01_GAN,k,k,,0
01_GAN,l,l,,0
01_GAN,m,m,,0
01_GAN,n,n,,0
01_GAN,o,o,,0
01_GAN,p,p,,0
01_GAN,q,q,,0
01_GAN,r,r,,0
01_GAN,s,s,,0
01_GAN,t,t,,0
01_GAN,u,u,,0
01_GAN,v,v,,0
01_GAN,w,w,,0
01_GAN,x,x,,0
01_GAN,y,y,,0
01_GAN,z,z,,0
03_FontCNN,0,0,,0
03_FontCNN,1,1,,0
03_FontCNN,2,2,,0
03_FontCNN,3,3,,0
03_FontCNN,4,4,,0
03_FontCNN,5,5,,0
03_FontCNN,6,6,,0
03_FontCNN,7,7,,0
03_FontCNN,8,8,,0
03_FontCNN,9,9,,0
03_FontCNN,A,A,,0
03_FontCNN,B,B,,0
03_FontCNN,C,C,,0
03_FontCNN,D,D,,0
03_FontCNN,E,E,,0
03_FontCNN,F,F,,0
03_FontCNN,G,G,,0
03_FontCNN,H,H,,0
03_FontCNN,I,I,,0
03_FontCNN,J,J,,0
03_FontCNN,K,K,,0
03_FontCNN,L,L,,0
03_FontCNN,M,M,,0
03_FontCNN,N,N,,0
03_FontCNN,O,O,,0
03_FontCNN,P,P,,0
03_FontCNN,Q,Q,,0
03_FontCNN,R,R,,0
03_FontCNN,S,S,,0
03_FontCNN,T,T,,0
03_FontCNN,U,U,,0
03_FontCNN,V,V,,0
03_FontCNN,W,W,,0
